context_switches,cpu_usage,execution_time_us,hw_branch_instructions,hw_branch_misses,hw_cache_misses,hw_cache_references,hw_cpu_cycles,hw_instructions,hw_telemetry_available,max_rss_kb,sw_context_switches,sw_cpu_migrations,sw_page_faults,synthetic_branch_proxy,synthetic_cache_proxy,is_anomaly
0.0,61.0,59.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,11.958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,12.0,12.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,20.0,18.666,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.625,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,19.0,18.583,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.333,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17301504.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17317888.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17317888.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,18.0,17.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17317888.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.208,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17317888.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,18.0,17.875,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17317888.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,16.0,16.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17317888.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.041,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17334272.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,16.0,16.125,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17334272.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,12.917,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17334272.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,16.0,15.458,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17350656.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,12.959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17350656.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17350656.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.458,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17350656.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17350656.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.584,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17350656.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.375,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.209,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.25,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,15.0,13.542,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,14.0,13.417,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
0.0,13.0,13.292,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,17367040.0,-1.0,-1.0,-1.0,0.0,0.0,0
