Algorithm,Model,Seq_Len,Training_Time_s,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,FPR,Inference_Time_ms
ML-KEM-768,HMM,30,2.4690070152282715,0.13703703703703704,0.6065573770491803,0.22356495468277945,0.6247508839601414,0.18997703118300827,0.09261708382115147,0.5748473159755705,0.4568627450980392,0.12145526772413905
ML-KEM-1024,LSTM,5,0.4884517192840576,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.004443146238391031
ML-KEM-1024,GRU,5,0.8482370376586914,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,0.0029562303683901793
ML-KEM-1024,HMM,5,2.0792319774627686,0.2918918918918919,0.8307692307692308,0.432,0.8641749963783862,0.4118894573208007,0.3935122630476244,0.7920324496595683,0.24670433145009416,0.10947973136133796
ML-KEM-1024,LSTM,10,0.4267890453338623,0.0,0.0,0.0,1.0,0.9999999999999996,0.0,0.5,0.0,0.004619107835385602
ML-KEM-1024,GRU,10,1.2005641460418701,1.0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,0.0,0.004336716963353294
ML-KEM-1024,HMM,10,2.4442269802093506,0.22033898305084745,0.6,0.32231404958677684,0.7540216437554841,0.2488742416357003,0.23063221178528973,0.6688212927756654,0.2623574144486692,0.11004570575333288
ML-KEM-1024,LSTM,20,0.5444049835205078,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.007509569703198956
ML-KEM-1024,GRU,20,1.8167879581451416,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.007629804890250174
ML-KEM-1024,HMM,20,2.5464210510253906,0.14840989399293286,0.6666666666666666,0.24277456647398843,0.6536127964699392,0.19650883219778242,0.1252930922690829,0.6007078507078507,0.46525096525096526,0.11736185333199427
ML-KEM-1024,LSTM,30,0.6870918273925781,1.0,0.9180327868852459,0.9572649572649573,1.0,1.0,0.9534777644008005,0.959016393442623,0.0,0.007875746478132524
ML-KEM-1024,GRU,30,1.9494311809539795,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.004989253242880158
ML-KEM-1024,HMM,30,2.444887161254883,0.13703703703703704,0.6065573770491803,0.22356495468277945,0.6247508839601414,0.18997703118300827,0.09261708382115147,0.5748473159755705,0.4568627450980392,0.11881095097904239
ML-DSA-44,LSTM,5,0.502169132232666,1.0,0.8769230769230769,0.9344262295081968,1.0,0.9999999999999998,0.9294662560041532,0.9384615384615385,0.0,0.0036834870408845428
ML-DSA-44,GRU,5,0.8440761566162109,1.0,0.9692307692307692,0.984375,1.0,0.9999999999999998,0.9826463660905072,0.9846153846153847,0.0,0.002829020455379614
ML-DSA-44,HMM,5,2.0796401500701904,0.2918918918918919,0.8307692307692308,0.432,0.8641749963783862,0.4118894573208007,0.3935122630476244,0.7920324496595683,0.24670433145009416,0.10880687892837013
ML-DSA-44,LSTM,10,0.4074230194091797,0.0,0.0,0.0,1.0,0.9999999999999996,0.0,0.5,0.0,0.003757815675687064
ML-DSA-44,GRU,10,1.2061560153961182,1.0,1.0,1.0,1.0,0.9999999999999996,1.0,1.0,0.0,0.004385530242661736
ML-DSA-44,HMM,10,2.3402087688446045,0.22033898305084745,0.6,0.32231404958677684,0.7540216437554841,0.2488742416357003,0.23063221178528973,0.6688212927756654,0.2623574144486692,0.10850788574735122
ML-DSA-44,LSTM,20,0.6722781658172607,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.006370002759713519
ML-DSA-44,GRU,20,1.8259739875793457,1.0,0.9682539682539683,0.9838709677419355,1.0,0.9999999999999998,0.9821048388690051,0.9841269841269842,0.0,0.007386872362146689
ML-DSA-44,HMM,20,2.527787923812866,0.14840989399293286,0.6666666666666666,0.24277456647398843,0.6536127964699392,0.19650883219778242,0.1252930922690829,0.6007078507078507,0.46525096525096526,0.11998979236911374
ML-DSA-44,LSTM,30,0.7009680271148682,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.007187213663879501
ML-DSA-44,GRU,30,1.9257469177246094,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.010527161499664787
ML-DSA-44,HMM,30,2.4807591438293457,0.13703703703703704,0.6065573770491803,0.22356495468277945,0.6247508839601414,0.18997703118300827,0.09261708382115147,0.5748473159755705,0.4568627450980392,0.12217344628115251
Falcon-512,LSTM,5,0.4828770160675049,0.0,0.0,0.0,1.0,0.9999999999999998,0.0,0.5,0.0,0.0037398914362760196
Falcon-512,GRU,5,0.8333046436309814,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,0.002943429370854525
Falcon-512,HMM,5,2.247002124786377,0.2918918918918919,0.8307692307692308,0.432,0.8641749963783862,0.4118894573208007,0.3935122630476244,0.7920324496595683,0.24670433145009416,0.11059381817811287
Falcon-512,LSTM,10,0.42619800567626953,1.0,0.9076923076923077,0.9516129032258065,1.0,0.9999999999999996,0.9473411087895135,0.9538461538461538,0.0,0.003820345083065646
Falcon-512,GRU,10,1.2073540687561035,1.0,1.0,1.0,1.0,0.9999999999999998,1.0,1.0,0.0,0.0047667579199053515
Falcon-512,HMM,10,2.331500768661499,0.22033898305084745,0.6,0.32231404958677684,0.7540216437554841,0.2488742416357003,0.23063221178528973,0.6688212927756654,0.2623574144486692,0.1327434772162268
Falcon-512,LSTM,20,0.5499298572540283,1.0,0.9523809523809523,0.975609756097561,1.0,0.9999999999999998,0.9730863234894692,0.9761904761904762,0.0,0.00694122248795685
Falcon-512,GRU,20,1.7461702823638916,1.0,0.9523809523809523,0.975609756097561,1.0,0.9999999999999998,0.9730863234894692,0.9761904761904762,0.0,0.009585165526083126
Falcon-512,HMM,20,2.57017183303833,0.14840989399293286,0.6666666666666666,0.24277456647398843,0.6536127964699392,0.19650883219778242,0.1252930922690829,0.6007078507078507,0.46525096525096526,0.12222419712506555
Falcon-512,LSTM,30,0.7191159725189209,1.0,0.09836065573770492,0.1791044776119403,1.0,1.0,0.29796933508029616,0.5491803278688525,0.0,0.008823157609448542
Falcon-512,GRU,30,1.976104974746704,1.0,0.9836065573770492,0.9917355371900827,1.0,1.0,0.9907985119668105,0.9918032786885246,0.0,0.005152513600898917
Falcon-512,HMM,30,2.6148030757904053,0.13703703703703704,0.6065573770491803,0.22356495468277945,0.6247508839601414,0.18997703118300827,0.09261708382115147,0.5748473159755705,0.4568627450980392,0.11908193812061317
