Algorithm,Model,Seq_Len,Test_Type,TP,TN,FP,FN,Precision,Recall,F1,ROC_AUC,PR_AUC,MCC,Balanced_Accuracy,FPR,Latency_Mean_ms,Latency_Median_ms,Latency_95th_ms
ML-KEM-512,GRU,20,Standard,6,787,2,86,0.75,0.06521739130434782,0.12,0.7577423265553535,0.3301596803173699,0.20208164385024618,0.5313412685292335,0.0025348542458808617,2.621547139278846,2.765499993984122,2.9303704941412434
ML-KEM-512,GRU,20,Mixed_Unseen,20,882,6,73,0.7692307692307693,0.21505376344086022,0.3361344537815126,0.8355129322871258,0.4985131410581961,0.37987667355545335,0.6041485033420517,0.006756756756756757,2.621547139278846,2.765499993984122,2.9303704941412434
ML-KEM-512,LSTM,20,Standard,0,789,0,92,0.0,0.0,0.0,0.7560891607428225,0.3239511757023192,0.0,0.5,0.0,1.2819349889468867,1.0089999996125698,1.097494101850316
ML-KEM-512,LSTM,20,Mixed_Unseen,0,888,0,93,0.0,0.0,0.0,0.8396299525331783,0.5270410827626673,0.0,0.5,0.0,1.2819349889468867,1.0089999996125698,1.097494101850316
ML-KEM-512,HMM,20,Standard,25,504,285,67,0.08064516129032258,0.2717391304347826,0.12437810945273632,0.45687992505648317,0.09419808905489399,-0.057299105087055616,0.4552612001983799,0.3612167300380228,0.11529580981004983,0.11408299178583547,0.12218990959809162
ML-KEM-512,HMM,20,Mixed_Unseen,43,571,317,50,0.11944444444444445,0.46236559139784944,0.18984547461368656,0.5712486680228616,0.1291892033720812,0.06405071407593385,0.5526918047079338,0.356981981981982,0.11529580981004983,0.11408299178583547,0.12218990959809162
ML-KEM-768,GRU,5,Standard,6,800,3,87,0.6666666666666666,0.06451612903225806,0.1176470588235294,0.7513223262229006,0.33621486336483253,0.18589934997172572,0.530390069497449,0.0037359900373599006,1.1650958011159673,1.149875002738554,1.2430711518391035
ML-KEM-768,GRU,5,Mixed_Unseen,15,897,3,81,0.8333333333333334,0.15625,0.2631578947368421,0.8272337962962963,0.4895178944736983,0.3387708344219468,0.5764583333333333,0.0033333333333333335,1.1650958011159673,1.149875002738554,1.2430711518391035
ML-KEM-768,LSTM,5,Standard,0,803,0,93,0.0,0.0,0.0,0.7479746648991015,0.2941343878396497,0.0,0.5,0.0,0.8239575603511184,0.8132085058605298,0.8841934381052851
ML-KEM-768,LSTM,5,Mixed_Unseen,0,900,0,96,0.0,0.0,0.0,0.8281481481481482,0.5200591269103212,0.0,0.5,0.0,0.8239575603511184,0.8132085058605298,0.8841934381052851
ML-KEM-768,HMM,5,Standard,47,487,316,46,0.12947658402203857,0.5053763440860215,0.206140350877193,0.5632373224065668,0.12776213582822699,0.06949064095414784,0.5559260300753893,0.39352428393524286,0.11085913080023602,0.10981249943142757,0.11617319323704578
ML-KEM-768,HMM,5,Mixed_Unseen,44,554,346,52,0.11282051282051282,0.4583333333333333,0.18106995884773663,0.5687731481481482,0.12966006569225702,0.044675291151216864,0.5369444444444444,0.3844444444444444,0.11085913080023602,0.10981249943142757,0.11617319323704578
ML-KEM-768,GRU,10,Standard,3,797,1,90,0.75,0.03225806451612903,0.061855670103092786,0.7461664914975611,0.3180512595556462,0.14180184878672708,0.5155024658420244,0.0012531328320802004,1.779065820883261,1.7963125064852647,1.9300124957226217
ML-KEM-768,GRU,10,Mixed_Unseen,6,895,1,89,0.8571428571428571,0.06315789473684211,0.11764705882352942,0.8280897556390977,0.5056044724649013,0.21809905849485914,0.5310209116541353,0.0011160714285714285,1.779065820883261,1.7963125064852647,1.9300124957226217
ML-KEM-768,LSTM,10,Standard,0,798,0,93,0.0,0.0,0.0,0.748632333521977,0.313691483654342,0.0,0.5,0.0,0.8612270808953326,0.8560620044590905,0.8948955066443887
ML-KEM-768,LSTM,10,Mixed_Unseen,0,896,0,95,0.0,0.0,0.0,0.8379581766917293,0.525818765880601,0.0,0.5,0.0,0.8612270808953326,0.8560620044590905,0.8948955066443887
ML-KEM-768,HMM,10,Standard,45,361,437,48,0.09336099585062241,0.4838709677419355,0.15652173913043477,0.49765542889481773,0.1089751080151664,-0.039113335658051876,0.4681259600614439,0.5476190476190477,0.11548504073289223,0.11406250268919393,0.12191699279355815
ML-KEM-768,HMM,10,Mixed_Unseen,60,448,448,35,0.11811023622047244,0.631578947368421,0.1990049751243781,0.6002467105263158,0.14072109000858474,0.0774991240226644,0.5657894736842105,0.5,0.11548504073289223,0.11406250268919393,0.12191699279355815
ML-KEM-768,GRU,20,Standard,8,783,6,84,0.5714285714285714,0.08695652173913043,0.15094339622641512,0.7609384471262468,0.323958541801608,0.19405127543891657,0.539675979500744,0.0076045627376425855,2.675639501394471,2.7928125055041164,3.048666637187125
ML-KEM-768,GRU,20,Mixed_Unseen,21,882,6,72,0.7777777777777778,0.22580645161290322,0.35000000000000003,0.8414705027608254,0.5199161571808765,0.3922243394361709,0.6095248474280732,0.006756756756756757,2.675639501394471,2.7928125055041164,3.048666637187125
ML-KEM-768,LSTM,20,Standard,0,789,0,92,0.0,0.0,0.0,0.7535129773516285,0.32097109165119464,0.0,0.5,0.0,1.0890546409063973,1.0790004962473176,1.1455631596618332
ML-KEM-768,LSTM,20,Mixed_Unseen,0,888,0,93,0.0,0.0,0.0,0.839218250508573,0.5108386377510519,0.0,0.5,0.0,1.0890546409063973,1.0790004962473176,1.1455631596618332
ML-KEM-768,HMM,20,Standard,25,504,285,67,0.08064516129032258,0.2717391304347826,0.12437810945273632,0.45687992505648317,0.09419808905489399,-0.057299105087055616,0.4552612001983799,0.3612167300380228,0.1158262493845541,0.11422949319239706,0.12213060472276993
ML-KEM-768,HMM,20,Mixed_Unseen,43,571,317,50,0.11944444444444445,0.46236559139784944,0.18984547461368656,0.5712486680228616,0.1291892033720812,0.06405071407593385,0.5526918047079338,0.356981981981982,0.1158262493845541,0.11422949319239706,0.12213060472276993
