algo,seed,w_time,w_mse,w_var,margin,alpha,precision,recall,fpr
ML-KEM-512,42,0.8,0.1,0.1,5.0,0.2,0.9607843137254902,0.28,0.004889975550122249
ML-KEM-512,123,0.33,0.33,0.33,1.0,0.01,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.0,0.05,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.0,0.1,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.0,0.2,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.25,0.01,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.25,0.05,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.25,0.1,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.25,0.2,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.5,0.01,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.5,0.05,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.5,0.1,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,1.5,0.2,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,2.0,0.01,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,2.0,0.05,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,2.0,0.1,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,2.0,0.2,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,3.0,0.01,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,3.0,0.05,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,3.0,0.1,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,3.0,0.2,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,5.0,0.01,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,5.0,0.05,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,5.0,0.1,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.33,0.33,0.33,5.0,0.2,0.9761904761904762,0.2342857142857143,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.0,0.01,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.0,0.05,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.0,0.1,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.0,0.2,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.25,0.01,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.25,0.05,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.25,0.1,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.25,0.2,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.5,0.01,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.5,0.05,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.5,0.1,0.9767441860465116,0.24,0.0024449877750611247
ML-KEM-512,123,0.6,0.2,0.2,1.5,0.2,0.9767441860465116,0.24,0.0024449877750611247
