algo,seed,wilcoxon_p,effect_size,base_precision,base_recall,base_f1,base_accuracy,base_roc_auc,base_pr_auc,base_mcc,base_balanced_accuracy,base_fpr,base_tpr,base_mean_latency_ms,adapt_precision,adapt_recall,adapt_f1,adapt_accuracy,adapt_roc_auc,adapt_pr_auc,adapt_mcc,adapt_balanced_accuracy,adapt_fpr,adapt_tpr,adapt_mean_latency_ms
ML-KEM-768,3333,6.613837728895246e-14,0.5617977528089888,0.8177570093457944,1.0,0.8997429305912596,0.9332191780821918,0.9989381767376877,0.9979356520072817,0.8601047492042901,0.952322738386308,0.09535452322738386,1.0,0.054634188952511306,0.9285714285714286,0.22285714285714286,0.35944700460829493,0.761986301369863,0.8847921760391197,0.7505523081471297,0.38216275597577454,0.6077610897659798,0.007334963325183374,0.22285714285714286,0.4432425923543434
ML-KEM-768,4444,4.069087128968328e-12,0.5227272727272727,0.8055555555555556,0.9942857142857143,0.8900255754475703,0.9263698630136986,0.9993293747816975,0.9987575657289943,0.8460540637137687,0.9457981138665735,0.10268948655256724,0.9942857142857143,0.05390260317554212,0.9761904761904762,0.2342857142857143,0.3778801843317972,0.7688356164383562,0.8999091861683548,0.7630856079373896,0.41109871468053955,0.6159203632553266,0.0024449877750611247,0.2342857142857143,0.43717802387394317
ML-KEM-768,5555,5.846344823476808e-07,0.39622641509433965,0.7837837837837838,0.9942857142857143,0.8765743073047859,0.916095890410959,0.9991477471184073,0.998359852373162,0.8275857454165378,0.9384631505413902,0.11735941320293398,0.9942857142857143,0.05338371616520294,0.9846153846153847,0.3657142857142857,0.5333333333333333,0.8082191780821918,0.9377017114914425,0.8712348433830336,0.5291380782424262,0.6816346489696123,0.0024449877750611247,0.3657142857142857,0.4334866184077851
ML-KEM-768,6666,6.769272740073568e-09,0.4,0.7322175732217573,1.0,0.8454106280193237,0.8904109589041096,0.9960880195599022,0.9920845178127652,0.7859012280485261,0.921760391198044,0.15647921760391198,1.0,0.054224713207924206,0.9655172413793104,0.16,0.27450980392156865,0.7465753424657534,0.855270695075096,0.6994399962402488,0.3322518528874834,0.5787775061124695,0.0024449877750611247,0.16,0.4407245002380789
ML-KEM-768,7777,8.211783345090586e-17,0.654320987654321,0.8620689655172413,1.0,0.9259259259259259,0.952054794520548,0.9998742577715682,0.99972049689441,0.8961316974768064,0.9657701711491442,0.06845965770171149,1.0,0.0544010776363007,0.9767441860465116,0.24,0.3853211009174312,0.7705479452054794,0.9216905344044708,0.8360513871857784,0.4166889810800841,0.6187775061124694,0.0024449877750611247,0.24,0.44050363645161666
ML-KEM-768,9876,0.28130555327095774,0.06109324758842438,0.5072463768115942,1.0,0.6730769230769231,0.708904109589041,0.9544393992315753,0.7559823883372658,0.544435923198834,0.7921760391198044,0.4156479217603912,1.0,0.05432391819888598,0.8529411764705882,0.1657142857142857,0.27751196172248804,0.7414383561643836,0.7992315752706951,0.5827934790880437,0.300288093788757,0.5767446734194901,0.012224938875305624,0.1657142857142857,0.4416908303352251
ML-KEM-768,5432,0.038765574177637194,0.13777777777777778,0.6410256410256411,1.0,0.78125,0.8321917808219178,0.9978064966818023,0.9957942201487215,0.698162055082068,0.880195599022005,0.2396088019559902,1.0,0.05416388381017397,0.9791666666666666,0.26857142857142857,0.42152466367713004,0.7791095890410958,0.892979392245896,0.7548120773681666,0.44388011565027174,0.6330632203981837,0.0024449877750611247,0.26857142857142857,0.44046117834848897
ML-KEM-768,1999,5.089468973814294e-29,1.0,1.0,0.9657142857142857,0.9825581395348837,0.9897260273972602,0.9988822913028292,0.9976136943340678,0.9755778551520093,0.9828571428571429,0.0,0.9657142857142857,0.054052023038472216,1.0,0.25142857142857145,0.4018264840182648,0.7756849315068494,0.8900873209919666,0.8209697304344855,0.43638728491314044,0.6257142857142857,0.0,0.25142857142857145,0.43851912838138946
ML-KEM-768,2000,1.9060376716772496e-06,0.34375,0.7322175732217573,1.0,0.8454106280193237,0.8904109589041096,0.9990639189661195,0.9979896494318015,0.7859012280485261,0.921760391198044,0.15647921760391198,1.0,0.05419531913652812,0.9787234042553191,0.26285714285714284,0.4144144144144144,0.7773972602739726,0.8940971009430667,0.791996526288987,0.4385366131252281,0.6302060775410409,0.0024449877750611247,0.26285714285714284,0.44125114401725873
ML-KEM-768,2010,6.685949048426712e-13,0.5268817204301075,0.7981651376146789,0.9942857142857143,0.8854961832061069,0.922945205479452,0.9983234369542437,0.9966487601029829,0.8398305323810064,0.9433531260915125,0.10757946210268948,0.9942857142857143,0.0539017866735589,0.9444444444444444,0.19428571428571428,0.3222748815165877,0.7551369863013698,0.9030108278030038,0.7750536674868101,0.36075250230411193,0.594697869367796,0.004889975550122249,0.19428571428571428,0.43988636095229894
