algo,seed,y_true,pipeline_a_score,pipeline_a_pred,pipeline_b_score,pipeline_b_pred
ML-KEM-512,42,1,5.65214e+14,1,0.5822404019448644,1
ML-KEM-512,42,1,5.65226e+14,1,0.41615936307919427,0
ML-KEM-512,42,1,5.6523924e+14,1,0.5241213792622699,1
ML-KEM-512,42,1,5.652524e+14,1,0.6903620084168334,1
ML-KEM-512,42,1,5.652654e+14,1,0.4478939080366472,0
ML-KEM-512,42,1,5.652786e+14,1,0.6793256146210027,1
ML-KEM-512,42,1,5.6529165e+14,1,0.4652370548217834,0
ML-KEM-512,42,1,5.653043e+14,1,0.5182344970579686,1
ML-KEM-512,42,1,5.653172e+14,1,0.6950365980233987,1
ML-KEM-512,42,1,5.653314e+14,1,0.7605060835842743,1
ML-KEM-512,42,1,5.6534426e+14,1,0.6456895107576294,1
ML-KEM-512,42,1,5.653571e+14,1,0.4492313864134523,0
ML-KEM-512,42,1,5.6536997e+14,1,0.5780879529266342,1
ML-KEM-512,42,1,5.653831e+14,1,0.7121450332721195,1
ML-KEM-512,42,1,5.653831e+14,1,0.5277959799933879,1
ML-KEM-512,42,1,5.653831e+14,1,0.42012887755584577,0
ML-KEM-512,42,1,5.6538305e+14,1,0.6381990573536589,1
ML-KEM-512,42,1,5.65383e+14,1,0.6571878264972721,1
ML-KEM-512,42,1,5.65383e+14,1,0.44787707904921525,0
ML-KEM-512,42,1,5.65383e+14,1,0.5090145786866785,1
ML-KEM-512,42,1,5.653963e+14,1,0.5203038399635829,1
ML-KEM-512,42,1,5.654093e+14,1,0.5628148905051577,1
ML-KEM-512,42,1,5.6542265e+14,1,0.6006027612256224,1
ML-KEM-512,42,0,5.654347e+14,1,0.4826785577569517,0
ML-KEM-512,42,0,5.654481e+14,1,0.521531152883456,1
ML-KEM-512,42,0,5.654612e+14,1,0.6733703926087657,0
ML-KEM-512,42,0,5.654742e+14,1,0.4528801938595243,0
ML-KEM-512,42,0,5.6548734e+14,1,0.5260949237380537,0
ML-KEM-512,42,0,5.6550016e+14,1,0.4998092941853886,0
ML-KEM-512,42,0,5.655129e+14,1,0.4856969149502971,0
ML-KEM-512,42,0,5.6552586e+14,1,0.6948102815185102,0
ML-KEM-512,42,0,5.655401e+14,1,0.4251459382388478,0
ML-KEM-512,42,0,5.655532e+14,1,0.4519015021536236,0
ML-KEM-512,42,0,5.65566e+14,1,0.4941970610678805,0
ML-KEM-512,42,0,5.655788e+14,1,0.4548758001717784,0
ML-KEM-512,42,0,5.655918e+14,1,0.608615785083521,0
ML-KEM-512,42,0,5.655918e+14,1,0.4290043778631573,0
ML-KEM-512,42,0,5.655918e+14,1,0.5282571496161678,0
ML-KEM-512,42,0,5.656051e+14,1,0.42541579081748776,0
ML-KEM-512,42,0,5.6561813e+14,1,0.46501092537378125,0
ML-KEM-512,42,0,5.656315e+14,1,0.5325748802813747,0
ML-KEM-512,42,0,5.656436e+14,1,0.42504776806241407,0
ML-KEM-512,42,0,5.656569e+14,1,0.4209003874719752,0
ML-KEM-512,42,0,5.6566994e+14,1,0.44627182276299626,0
ML-KEM-512,42,0,5.656831e+14,1,0.5260229699227696,1
ML-KEM-512,42,0,5.6569625e+14,1,0.46145159543162717,0
ML-KEM-512,42,0,5.657091e+14,1,0.4468061394903546,0
ML-KEM-512,42,0,5.6572175e+14,1,0.44017822087413205,0
ML-KEM-512,42,0,5.6573464e+14,1,0.4268006078812962,0
ML-KEM-512,42,0,5.6576215e+14,1,0.4644996464134495,0
ML-KEM-512,42,0,5.6578846e+14,1,0.47548148573047055,0
ML-KEM-512,42,0,5.658145e+14,1,0.4153726801190262,0
ML-KEM-512,42,0,5.658393e+14,1,0.4732729583860676,0
ML-KEM-512,42,0,5.6586583e+14,1,0.4408382283243396,0
ML-KEM-512,42,0,5.6589214e+14,1,0.490854920435075,0
ML-KEM-512,42,0,5.659183e+14,1,0.5088387979302915,0
ML-KEM-512,42,0,5.6594475e+14,1,0.44559547097093,0
ML-KEM-512,42,0,5.6596965e+14,1,0.4363824345085507,0
ML-KEM-512,42,0,5.6599576e+14,1,0.45871432795261197,0
ML-KEM-512,42,0,5.660218e+14,1,0.5054762825251857,0
ML-KEM-512,42,0,5.660491e+14,1,0.5114844152455631,0
ML-KEM-512,42,0,5.660754e+14,1,0.4669242344710713,0
ML-KEM-512,42,0,5.66101e+14,1,0.41101548016993783,0
ML-KEM-512,42,0,5.661265e+14,1,0.5249729855094465,1
ML-KEM-512,42,0,5.6615246e+14,1,0.4779182441446667,0
ML-KEM-512,42,0,5.661668e+14,1,0.4941183658036449,0
ML-KEM-512,42,0,5.661799e+14,1,0.47450267671358987,0
ML-KEM-512,42,0,5.661927e+14,1,0.42007129431373014,0
ML-KEM-512,42,0,5.662055e+14,1,0.48611622261725174,0
ML-KEM-512,42,0,5.6621856e+14,1,0.6801299673997319,0
ML-KEM-512,42,0,5.662186e+14,1,0.4717455349776631,0
ML-KEM-512,42,0,5.662186e+14,1,0.5773276867064693,0
ML-KEM-512,42,0,5.662186e+14,1,0.4455647797974803,0
ML-KEM-512,42,0,5.662186e+14,1,0.45124215946523927,0
ML-KEM-512,42,0,5.662186e+14,1,0.4137540064634125,0
ML-KEM-512,42,0,5.662186e+14,1,0.4624734176431211,0
ML-KEM-512,42,0,5.662186e+14,1,0.4180691383693104,0
ML-KEM-512,42,0,5.662186e+14,1,0.377062089523734,0
ML-KEM-512,42,0,5.662186e+14,1,0.536698933437626,1
ML-KEM-512,42,0,5.662186e+14,1,0.4810570470902806,0
ML-KEM-512,42,0,5.662186e+14,1,0.42671790700849127,0
ML-KEM-512,42,0,5.662186e+14,1,0.4521921943398546,0
ML-KEM-512,42,0,5.662186e+14,1,0.6148751878798617,0
ML-KEM-512,42,0,5.662186e+14,1,0.4074105687353497,0
ML-KEM-512,42,0,5.662186e+14,1,0.46883531973688386,0
ML-KEM-512,42,0,5.662186e+14,1,0.39105403364627145,0
ML-KEM-512,42,0,5.662186e+14,1,0.42274235113595776,0
ML-KEM-512,42,0,5.662186e+14,1,0.4560851825445516,0
ML-KEM-512,42,0,5.662186e+14,1,0.4327852459344127,0
ML-KEM-512,42,0,5.662186e+14,1,0.5656694486619274,0
ML-KEM-512,42,0,5.662186e+14,1,0.42539915011255525,0
ML-KEM-512,42,0,5.662186e+14,1,0.6696480041446158,0
ML-KEM-512,42,1,5.662186e+14,1,0.4663663333358236,0
ML-KEM-512,42,1,5.662186e+14,1,0.3991814027997087,0
ML-KEM-512,42,1,5.6621856e+14,1,0.5258746366473268,0
ML-KEM-512,42,1,5.662184e+14,1,0.4869405454101034,0
ML-KEM-512,42,1,5.6621876e+14,1,0.4977758409175136,0
ML-KEM-512,42,1,5.662184e+14,1,0.5521798463258006,1
ML-KEM-512,42,1,5.6621856e+14,1,0.4230459473941212,0
ML-KEM-512,42,1,5.662187e+14,1,0.5379861287686711,1
ML-KEM-512,42,1,5.662317e+14,1,0.5688253616990515,1
ML-KEM-512,42,1,5.662449e+14,1,0.4115830398462542,0
